C++;1;630x360;14,5745;74,5078
C++;1;630x360;12,4875;74,5
C++;1;630x360;11,8139;75,3477
C++;1;630x360;12,3587;74,3633
C++;1;630x360;11,7857;74,3164
C++;2;630x360;10,7377;74,4023
C++;2;630x360;10,6896;74,3906
C++;2;630x360;14,3625;74,3984
C++;2;630x360;10,4859;74,3945
C++;2;630x360;11,3855;74,3984
C++;4;630x360;14,6188;74,4336
C++;4;630x360;16,6629;74,4141
C++;4;630x360;17,5237;74,4023
C++;4;630x360;15,9179;74,4102
C++;4;630x360;15,5901;74,4062
C++;8;630x360;18,3321;74,4531
C++;8;630x360;18,4013;74,4453
C++;8;630x360;15,6198;74,4453
C++;8;630x360;17,6625;74,4531
C++;8;630x360;18,4196;74,4531
C++;16;630x360;33,9501;74,5742
C++;16;630x360;33,9492;74,5664
C++;16;630x360;34,3221;74,5859
C++;16;630x360;32,7746;74,5742
C++;16;630x360;33,443;74,582
C++;32;630x360;59,0426;74,5781
C++;32;630x360;63,8608;74,5938
C++;32;630x360;62,828;74,5898
C++;32;630x360;59,883;74,5977
C++;32;630x360;59,0527;74,582
C++;64;630x360;122,182;74,6758
C++;64;630x360;111,108;74,6953
C++;64;630x360;127,836;74,6484
C++;64;630x360;104,43;74,6641
C++;64;630x360;88,7108;74,6445
C++;1;1920x1080;52,528;90,5312
C++;1;1920x1080;41,9959;90,5312
C++;1;1920x1080;49,6113;90,5312
C++;1;1920x1080;48,6418;90,5312
C++;1;1920x1080;56,6279;90,5312
C++;2;1920x1080;34,3919;90,5625
C++;2;1920x1080;38,6405;90,5625
C++;2;1920x1080;53,9878;90,5625
C++;2;1920x1080;34,3039;90,5625
C++;2;1920x1080;35,1306;90,5039
C++;4;1920x1080;31,6969;90,4922
C++;4;1920x1080;40,5764;90,2539
C++;4;1920x1080;34,5624;90,2539
C++;4;1920x1080;27,791;90,2539
C++;4;1920x1080;34,65;90,2539
C++;8;1920x1080;36,6763;90,3242
C++;8;1920x1080;33,3074;90,3242
C++;8;1920x1080;35,7595;90,3242
C++;8;1920x1080;39,7386;90,3242
C++;8;1920x1080;26,9058;90,3242
C++;16;1920x1080;48,7021;90,582
C++;16;1920x1080;46,0408;90,582
C++;16;1920x1080;50,3782;90,4766
C++;16;1920x1080;50,9319;90,5195
C++;16;1920x1080;47,1725;90,5195
C++;32;1920x1080;71,4833;90,5312
C++;32;1920x1080;70,8348;90,5352
C++;32;1920x1080;74,111;90,5352
C++;32;1920x1080;68,5567;90,5352
C++;32;1920x1080;64,7286;90,5469
C++;64;1920x1080;116,446;90,5703
C++;64;1920x1080;117,145;90,4492
C++;64;1920x1080;120,39;90,5625
C++;64;1920x1080;121,738;90,5625
C++;64;1920x1080;127,301;93,957
C++;1;5120x2880;189,098;191,391
C++;1;5120x2880;202,732;191,547
C++;1;5120x2880;217,679;191,547
C++;1;5120x2880;198,048;191,566
C++;1;5120x2880;233,088;191,566
C++;2;5120x2880;91,6343;191,555
C++;2;5120x2880;120,353;191,555
C++;2;5120x2880;126,88;191,555
C++;2;5120x2880;123,234;191,555
C++;2;5120x2880;96,1727;191,484
C++;4;5120x2880;83,8507;191,484
C++;4;5120x2880;93,176;191,484
C++;4;5120x2880;92,6389;191,484
C++;4;5120x2880;100,454;191,484
C++;4;5120x2880;75,2263;191,484
C++;8;5120x2880;76,8228;191,496
C++;8;5120x2880;88,0745;191,496
C++;8;5120x2880;92,2576;191,496
C++;8;5120x2880;69,301;191,496
C++;8;5120x2880;115,63;191,496
C++;16;5120x2880;97,5402;191,496
C++;16;5120x2880;117,615;191,496
C++;16;5120x2880;83,4647;191,496
C++;16;5120x2880;82,6901;191,496
C++;16;5120x2880;85,6969;191,496
C++;32;5120x2880;107,203;191,496
C++;32;5120x2880;116,679;191,145
C++;32;5120x2880;111,6;191,191
C++;32;5120x2880;112,573;191,191
C++;32;5120x2880;104,874;191,191
C++;64;5120x2880;131,614;191,23
C++;64;5120x2880;168,723;191,23
C++;64;5120x2880;165,918;191,23
C++;64;5120x2880;178,078;191,23
C++;64;5120x2880;143,604;191,234
C++;1;500x500;341.112;78.2109
C++;1;500x500;12.4555;78.9336
C++;1;500x500;13.046;78.5469
